ap     rec    prec   f-measure
0.7037 0.1529 0.9019 0.2614
0.7037 0.1532 0.9021 0.2619
0.7037 0.1535 0.9023 0.2624
0.7037 0.1538 0.9025 0.2629
0.7037 0.1542 0.9027 0.2634
0.7037 0.1545 0.9029 0.2638
0.7037 0.1548 0.9030 0.2643
0.7037 0.1551 0.9032 0.2648
0.7037 0.1555 0.9034 0.2653
0.7037 0.1558 0.9036 0.2658
0.7037 0.1561 0.9038 0.2663
0.7037 0.1565 0.9040 0.2667
0.7037 0.1568 0.9041 0.2672
0.7037 0.1571 0.9043 0.2677
0.7037 0.1574 0.9045 0.2682
0.7037 0.1578 0.9047 0.2687
0.7037 0.1581 0.9049 0.2691
0.7037 0.1584 0.9050 0.2696
0.7037 0.1587 0.9052 0.2701
0.7037 0.1587 0.9035 0.2700
0.7037 0.1591 0.9037 0.2705
0.7037 0.1594 0.9039 0.2710
0.7037 0.1594 0.9022 0.2709
0.7037 0.1594 0.9006 0.2708
0.7037 0.1597 0.9007 0.2713
0.7037 0.1600 0.9009 0.2718
0.7037 0.1604 0.9011 0.2723
0.7037 0.1607 0.9013 0.2728
0.7037 0.1610 0.9015 0.2732
0.7037 0.1613 0.9016 0.2737
0.7037 0.1617 0.9018 0.2742
0.7037 0.1620 0.9020 0.2747
0.7037 0.1623 0.9022 0.2751
0.7037 0.1626 0.9024 0.2756
0.7037 0.1630 0.9025 0.2761
0.7037 0.1633 0.9027 0.2766
0.7037 0.1636 0.9029 0.2770
0.7037 0.1640 0.9031 0.2775
0.7037 0.1640 0.9014 0.2774
0.7037 0.1643 0.9016 0.2779
0.7037 0.1646 0.9018 0.2784
0.7037 0.1649 0.9020 0.2789
0.7037 0.1653 0.9021 0.2793
0.7037 0.1656 0.9023 0.2798
0.7037 0.1659 0.9025 0.2803
0.7037 0.1662 0.9027 0.2808
0.7037 0.1666 0.9028 0.2812
0.7037 0.1669 0.9030 0.2817
0.7037 0.1672 0.9032 0.2822
0.7037 0.1675 0.9033 0.2827
0.7037 0.1675 0.9018 0.2826
0.7037 0.1679 0.9019 0.2830
0.7037 0.1682 0.9021 0.2835
0.7037 0.1685 0.9023 0.2840
0.7037 0.1688 0.9024 0.2845
0.7037 0.1692 0.9026 0.2849
0.7037 0.1692 0.9010 0.2849
0.7037 0.1695 0.9012 0.2853
0.7037 0.1698 0.9014 0.2858
0.7037 0.1701 0.9016 0.2863
0.7037 0.1705 0.9017 0.2867
0.7037 0.1708 0.9019 0.2872
0.7037 0.1711 0.9021 0.2877
0.7037 0.1714 0.9022 0.2881
0.7037 0.1714 0.9007 0.2881
0.7037 0.1718 0.9009 0.2885
0.7037 0.1721 0.9010 0.2890
0.7037 0.1724 0.9012 0.2895
0.7037 0.1728 0.9014 0.2899
0.7037 0.1731 0.9015 0.2904
0.7037 0.1731 0.9000 0.2903
0.7037 0.1734 0.9002 0.2908
0.7037 0.1737 0.9003 0.2913
0.7037 0.1737 0.8988 0.2912
0.7037 0.1741 0.8990 0.2916
0.7037 0.1744 0.8992 0.2921
0.7037 0.1747 0.8993 0.2926
0.7037 0.1750 0.8995 0.2930
0.7037 0.1754 0.8997 0.2935
0.7037 0.1757 0.8998 0.2940
0.7037 0.1760 0.9000 0.2944
0.7037 0.1763 0.9002 0.2949
